kept,dropped
nh_area_new_house_transactions,nh_num_new_house_transactions
nh_area_new_house_available_for_sale,nh_num_new_house_available_for_sale
nhnbr_area_new_house_transactions_nearby_sectors,nhnbr_num_new_house_transactions_nearby_sectors
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors,nhnbr_price_new_house_transactions_nearby_sectors
nhnbr_area_new_house_available_for_sale_nearby_sectors,nhnbr_num_new_house_available_for_sale_nearby_sectors
po_num_pre_owned_house_transactions,po_area_pre_owned_house_transactions
has_pre_owned,has_new_house_nearby
ponbr_area_pre_owned_house_transactions_nearby_sectors,ponbr_num_pre_owned_house_transactions_nearby_sectors
land_planned_building_area,land_construction_area
landnbr_planned_building_area_nearby_sectors,landnbr_construction_area_nearby_sectors
search_fang_chan_shui_yi_dong_duan,search_fang_chan_shui_pc_duan
search_fang_di_chan_shui_yi_dong_duan,search_fang_chan_shui_yi_dong_duan
search_fang_di_chan_shui_yi_dong_duan,search_fang_di_chan_shui_pc_duan
search_xue_qu_fang_yi_dong_duan,search_xue_qu_fang_pc_duan
search_an_zhi_pc_all,search_an_zhi_pc_duan
search_an_zhi_yi_dong_all,search_an_zhi_yi_dong_duan
search_dai_kuan_li_lv_pc_all,search_dai_kuan_li_lv_pc_duan
search_dai_kuan_li_lv_yi_dong_all,search_dai_kuan_li_lv_yi_dong_duan
search_er_shou_fang_shi_chang_pc_all,search_er_shou_fang_shi_chang_pc_duan
search_er_shou_fang_shi_chang_yi_dong_all,search_er_shou_fang_shi_chang_yi_dong_duan
search_fang_chan_shui_yi_dong_all,search_fang_di_chan_shui_yi_dong_duan
search_fang_chan_shui_yi_dong_all,search_fang_chan_shui_pc_all
search_fang_dai_pc_all,search_fang_dai_pc_duan
search_fang_dai_yi_dong_all,search_fang_dai_yi_dong_duan
search_fang_di_chan_kai_fa_pc_all,search_fang_di_chan_kai_fa_pc_duan
search_fang_di_chan_kai_fa_yi_dong_all,search_fang_di_chan_kai_fa_yi_dong_duan
search_fang_di_chan_shui_yi_dong_all,search_fang_chan_shui_yi_dong_all
search_fang_di_chan_shui_yi_dong_all,search_fang_di_chan_shui_pc_all
search_fang_jia_pc_all,search_fang_jia_pc_duan
search_fang_jia_shang_zhang_pc_all,search_fang_jia_shang_zhang_pc_duan
search_fang_jia_shang_zhang_yi_dong_all,search_fang_jia_shang_zhang_yi_dong_duan
search_fang_jia_tiao_kong_pc_all,search_fang_jia_tiao_kong_pc_duan
search_fang_jia_tiao_kong_yi_dong_all,search_fang_jia_tiao_kong_yi_dong_duan
search_fang_jia_xia_die_pc_all,search_fang_jia_xia_die_pc_duan
search_fang_jia_xia_die_yi_dong_all,search_fang_jia_xia_die_yi_dong_duan
search_fang_jia_yi_dong_all,search_fang_jia_yi_dong_duan
search_fang_jia_zou_shi_pc_all,search_fang_jia_zou_shi_pc_duan
search_fang_jia_zou_shi_yi_dong_all,search_fang_jia_zou_shi_yi_dong_duan
search_fang_wu_zhuang_xiu_pc_all,search_fang_wu_zhuang_xiu_pc_duan
search_fang_wu_zhuang_xiu_yi_dong_all,search_fang_wu_zhuang_xiu_yi_dong_duan
search_gong_ji_jin_pc_all,search_gong_ji_jin_pc_duan
search_gong_ji_jin_yi_dong_all,search_gong_ji_jin_yi_dong_duan
search_gou_fang_pc_all,search_gou_fang_pc_duan
search_gou_fang_yi_dong_all,search_gou_fang_yi_dong_duan
search_li_lv_shang_diao_pc_all,search_li_lv_shang_diao_pc_duan
search_li_lv_shang_diao_yi_dong_all,search_li_lv_shang_diao_yi_dong_duan
search_luo_hu_pc_all,search_luo_hu_pc_duan
search_luo_hu_yi_dong_all,search_luo_hu_yi_dong_duan
search_mai_fang_pc_all,search_mai_fang_pc_duan
search_mai_fang_yi_dong_all,search_mai_fang_yi_dong_duan
search_peng_hu_qu_gai_zao_pc_all,search_peng_hu_qu_gai_zao_pc_duan
search_peng_hu_qu_gai_zao_yi_dong_all,search_peng_hu_qu_gai_zao_yi_dong_duan
search_peng_hu_qu_pc_all,search_peng_hu_qu_pc_duan
search_peng_hu_qu_yi_dong_all,search_peng_hu_qu_yi_dong_duan
search_qi_shui_pc_all,search_qi_shui_pc_duan
search_qi_shui_yi_dong_all,search_qi_shui_yi_dong_duan
search_qu_ku_cun_pc_all,search_qu_ku_cun_pc_duan
search_qu_ku_cun_yi_dong_all,search_qu_ku_cun_yi_dong_duan
search_qu_xiao_xian_gou_pc_all,search_qu_xiao_xian_gou_pc_duan
search_qu_xiao_xian_gou_yi_dong_all,search_qu_xiao_xian_gou_yi_dong_duan
search_rong_zi_pc_all,search_rong_zi_pc_duan
search_rong_zi_yi_dong_all,search_rong_zi_yi_dong_duan
search_shou_fu_pc_all,search_shou_fu_pc_duan
search_shou_fu_yi_dong_all,search_shou_fu_yi_dong_duan
search_shui_fei_pc_all,search_shui_fei_pc_duan
search_shui_fei_yi_dong_all,search_shui_fei_yi_dong_duan
search_xian_gou_pc_all,search_xian_gou_pc_duan
search_xian_gou_yi_dong_all,search_xian_gou_yi_dong_duan
search_xian_shou_pc_all,search_xian_shou_pc_duan
search_xian_shou_yi_dong_all,search_xian_shou_yi_dong_duan
search_xue_qu_fang_pc_all,search_xue_qu_fang_yi_dong_duan
search_xue_qu_fang_yi_dong_all,search_xue_qu_fang_pc_all
macro_total_households_10k,macro_year_end_registered_population_10k
macro_year_end_urban_non_private_employees_10k,macro_year_end_resident_population_10k
macro_private_individual_ratio,macro_total_households_10k
