,importance
nh_amount_new_house_transactions_ewm_alpha0.5,81039480836170.5
nh_area_new_house_transactions_ewm_alpha0.5,19293588883736.5
nh_amount_new_house_transactions_diff1,6499284389456.5
nh_amount_new_house_transactions_diff3,5068344169819.0
nh_amount_new_house_transactions_pctchg1,1555613943437.0
nh_area_new_house_transactions_diff1,1388376086751.0
nh_area_new_house_transactions_pctchg1,1181097500912.0
nh_amount_new_house_transactions_diff12,1130592090764.0
nh_amount_new_house_transactions_roll6_min,734482181788.5
nh_price_new_house_transactions_ewm_alpha0.5,604570474131.5
nh_area_new_house_transactions_diff3,600614301366.5
nh_amount_new_house_transactions_lag1,412529516990.0
nh_amount_new_house_transactions_pctchg3,372702515390.5
nh_area_new_house_transactions_roll3_std,209401907025.0
nh_amount_new_house_transactions_lag2,196101480725.0
nh_inventory_turnover,183303964129.5
nh_amount_new_house_transactions_lag3,158119214253.5
nh_total_price_per_unit_new_house_transactions,152170477657.5
nh_area_new_house_transactions_diff12,139037334286.5
nh_total_price_per_unit_new_house_transactions_ewm_alpha0.5,78133682624.0
search_fang_di_chan_shui_pc_all_diff3,62139556796.0
nh_period_new_house_sell_through_pctchg3,38451522530.0
nh_price_new_house_transactions_roll3_std,32850087465.0
search_shui_fei_yi_dong_all_diff3,30105868459.0
nh_amount_new_house_transactions_lag12,27809084960.5
nh_period_new_house_sell_through_ewm_alpha0.5,25307665105.0
nh_price_new_house_transactions_diff1,23416389952.0
nh_period_new_house_sell_through_roll3_std,22250034245.5
macro_over_60_years_percent_yoy_lag1,21568091792.0
nh_total_price_per_unit_new_house_transactions_diff1,21182267944.5
search_fang_jia_yi_dong_all,19259098793.0
po_price_pre_owned_house_transactions_ewm_alpha0.5,18310144615.5
nh_total_price_per_unit_new_house_transactions_roll6_min,15727693523.5
imputed_nh_inventory_turnover,15223881258.5
nh_period_new_house_sell_through_pctchg1,14781063926.5
po_amount_pre_owned_house_transactions_diff1,14712976837.0
search_fang_jia_yi_dong_all_lag3,14679050718.0
nh_period_new_house_sell_through_diff1,13312312547.0
ponbr_price_pre_owned_house_transactions_nearby_sectors_roll3_std,12364576837.0
nh_total_price_per_unit_new_house_transactions_lag6,12001692173.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_diff3,11767655949.0
search_xue_qu_fang_yi_dong_all,11108686257.0
nh_price_new_house_transactions_roll6_std,10200513096.0
nhnbr_amount_new_house_transactions_nearby_sectors_lag12,9933866024.5
ponbr_amount_pre_owned_house_transactions_nearby_sectors_roll3_std,9924600357.5
nh_area_new_house_available_for_sale_ewm_alpha0.5,9710818114.0
search_fang_wu_zhuang_xiu_yi_dong_all_lag2,9548246119.0
nh_price_new_house_transactions_pctchg1,9529304649.5
nh_area_new_house_available_for_sale_roll6_std,9434196404.5
ponbr_area_pre_owned_house_transactions_nearby_sectors_lag12,9138202185.5
nh_area_new_house_available_for_sale_pctchg3,8359021913.0
nh_period_new_house_sell_through_lag6,8289924980.0
search_qi_shui_pc_all,7660037112.0
nh_total_price_per_unit_new_house_transactions_pctchg1,7460227502.5
ponbr_price_pre_owned_house_transactions_nearby_sectors_pctchg12,7454449400.5
po_amount_pre_owned_house_transactions_diff12,7344178559.5
search_er_shou_fang_shi_chang_pc_all_diff12,7157980959.5
land_transaction_amount_roll3_max,7085069890.0
land_transaction_amount_diff1,6817662818.0
nh_period_new_house_sell_through_roll6_std,6678980446.5
po_num_pre_owned_house_transactions_diff12,6452285675.0
nhnbr_amount_new_house_transactions_nearby_sectors_ewm_alpha0.5,6435374982.0
search_fang_jia_tiao_kong_pc_all_pctchg12,5807028890.0
nh_period_new_house_sell_through_lag12,5757518410.5
search_xian_shou_yi_dong_all_pctchg12,5755288261.0
nhnbr_amount_new_house_transactions_nearby_sectors_roll6_min,5380654801.5
nh_area_new_house_available_for_sale_roll3_std,5283546103.0
search_fang_jia_tiao_kong_pc_all_diff1,5248152641.0
land_transaction_amount_lag1,5145328646.5
search_fang_di_chan_shui_yi_dong_all_diff3,5048756160.0
search_fang_jia_zou_shi_pc_all_lag1,4888749541.0
nhnbr_price_new_house_transactions_nearby_sectors_diff3,4788113373.5
nh_amount_new_house_transactions_lag6,4632941810.5
search_fang_wu_zhuang_xiu_pc_all_pctchg3,4625677011.0
nh_area_new_house_available_for_sale_pctchg1,4599073013.5
land_planned_building_area_roll3_max,4489942486.0
ponbr_price_pre_owned_house_transactions_nearby_sectors_roll6_std,4464997795.0
search_rong_zi_pc_all,4277440932.0
ponbr_amount_pre_owned_house_transactions_nearby_sectors_pctchg3,4219476371.0
search_peng_hu_qu_yi_dong_all,4170501911.5
search_rong_zi_yi_dong_all_lag1,4079757477.0
search_fang_jia_shang_zhang_yi_dong_all_diff1,3975145120.0
poi_pca_component_5,3921369136.0
ponbr_price_pre_owned_house_transactions_nearby_sectors_ewm_alpha0.5,3800792390.0
nhnbr_period_new_house_sell_through_nearby_sectors_pctchg3,3679456295.5
search_xue_qu_fang_yi_dong_all_lag1,3646455898.0
land_planned_building_area_ewm_alpha0.5,3621998680.5
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_pctchg3,3528078821.0
search_an_zhi_yi_dong_all_pctchg3,3408362616.0
search_dai_kuan_li_lv_yi_dong_all_lag6,3403234736.0
search_fang_jia_yi_dong_all_lag1,3304741922.0
nh_area_per_unit_new_house_transactions_roll6_max,3271318907.5
nhnbr_amount_new_house_transactions_nearby_sectors_pctchg1,3268724585.0
search_qu_ku_cun_yi_dong_all_pctchg1,3268227559.5
nh_total_price_per_unit_new_house_transactions_roll3_std,3235765682.0
search_xian_gou_pc_all_diff1,3216328995.0
po_num_pre_owned_house_transactions_roll3_std,3212134257.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_roll6_min,3184796809.5
search_fang_di_chan_kai_fa_yi_dong_all_pctchg1,3178126575.0
poi_pca_component_1,3157962001.0
nhnbr_amount_new_house_transactions_nearby_sectors_pctchg3,3092165841.5
nh_price_new_house_transactions_diff3,3066692744.5
nh_area_new_house_available_for_sale_diff3,3051895015.5
