sector_label,sector_id
sector 1,1
sector 2,2
sector 3,3
sector 4,4
sector 5,5
sector 6,6
sector 7,7
sector 8,8
sector 9,9
sector 10,10
sector 11,11
sector 12,12
sector 13,13
sector 14,14
sector 15,15
sector 16,16
sector 17,17
sector 18,18
sector 19,19
sector 20,20
sector 21,21
sector 22,22
sector 23,23
sector 24,24
sector 25,25
sector 26,26
sector 27,27
sector 28,28
sector 29,29
sector 30,30
sector 31,31
sector 32,32
sector 33,33
sector 34,34
sector 35,35
sector 36,36
sector 37,37
sector 38,38
sector 39,39
sector 40,40
sector 41,41
sector 42,42
sector 43,43
sector 44,44
sector 45,45
sector 46,46
sector 47,47
sector 48,48
sector 49,49
sector 50,50
sector 51,51
sector 52,52
sector 53,53
sector 54,54
sector 55,55
sector 56,56
sector 57,57
sector 58,58
sector 59,59
sector 60,60
sector 61,61
sector 62,62
sector 63,63
sector 64,64
sector 65,65
sector 66,66
sector 67,67
sector 68,68
sector 69,69
sector 70,70
sector 71,71
sector 72,72
sector 73,73
sector 74,74
sector 75,75
sector 76,76
sector 77,77
sector 78,78
sector 79,79
sector 80,80
sector 81,81
sector 82,82
sector 83,83
sector 84,84
sector 85,85
sector 86,86
sector 87,87
sector 88,88
sector 89,89
sector 90,90
sector 91,91
sector 92,92
sector 93,93
sector 94,94
sector 95,95
sector 96,96
